NAME,WIDTH,PRICE,POWER,GRASS,AREA,DESCRIPTION
Bear CNR865,,15000.0,0.75,70.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf MTB712,36.0,36000.0,0.9,35.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Nakita IZP916,37.0,25000.0,1.4,,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf HHQ968,38.0,14000.0,1.9,30.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx BRL669,38.0,14000.0,1.0,55.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx HZX136,,26000.0,1.8,50.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch LSM995,30.0,43000.0,0.85,45.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch UHW648,37.0,43000.0,,25.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Boch YNT654,41.0,26000.0,0.95,65.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion LRS185,,29000.0,0.9,65.0,450.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Wolf IXQ424,37.0,27000.0,0.85,45.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf PIT938,37.0,45000.0,1.05,,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Nakita FRU225,43.0,30000.0,0.75,65.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper ZZN615,31.0,15000.0,1.0,25.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Cooper WUZ614,37.0,26000.0,1.35,75.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx LNW338,32.0,48000.0,0.9,65.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx EDE697,,32000.0,0.85,70.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Boch IOA272,32.0,35000.0,1.6,45.0,500.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Bear AIB339,41.0,29000.0,1.5,70.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper GZY898,31.0,49000.0,1.9,45.0,450.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Nakita WCF396,,31000.0,0.75,75.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Nakita THW172,41.0,29000.0,0.9,55.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita CJB954,34.0,34000.0,1.0,70.0,550.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Gardez RSY528,38.0,22000.0,1.25,70.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Bear RBD776,39.0,45000.0,1.8,50.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Champion SYP329,,46000.0,1.9,50.0,250.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch OUZ817,39.0,36000.0,0.95,40.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Boch ZZJ892,31.0,45000.0,1.85,45.0,500.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx LZK381,35.0,19000.0,0.95,40.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch VOO591,30.0,49000.0,1.15,75.0,550.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx VJB598,39.0,47000.0,1.1,50.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf CXZ298,42.0,125443.0,0.95,55.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear SJN422,32.0,39000.0,0.8,50.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Champion MKR622,30.0,21000.0,1.35,75.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
